"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"hsa05130","Pathogenic Escherichia coli infection",91,0.350908499567264,2.00586199791231,3.89412125356459e-05,0.000493774574951991,0.000318088220291171,2002,"tags=42%, list=25%, signal=32%","ACTB/MYH11/ITGB1/GAPDH/MYH10/ROCK1/TUBA1B/TUBA1A/TUBB/TUBB6/MYH9/TUBB4B/CYFIP2/CYCS/TNFRSF1A/NCL/CTTN/FOS/JUN/NCK2/TUBB2A/PTPN11/TUBA4A/ROCK2/ARHGEF2/CASP3/TUBA1C/ARPC5L/FAS/MYO6/EZR/NFKBIA/IL1B/FCGR2A/SEC24C/TRAF6/GNA13/MYO1E"
"hsa05163","Human cytomegalovirus infection",123,0.311905207359115,1.87295669254455,5.7686070592147e-05,0.000703326322219639,0.000453080878335082,2637,"tags=52%, list=33%, signal=35%","ROCK1/B2M/HLA-A/CREB5/MAP2K6/HLA-C/CYCS/PDIA3/PDGFRA/CTNNB1/PTK2/CDKN1A/CALR/TNFRSF1A/RAC2/BCAR1/CCL3/GRB2/ITGAV/GNG2/PIK3R1/GNB1/ROCK2/CREB3L2/SP1/AKAP13/STAT3/CCL4/RAF1/CXCL12/CCND1/RPS6KB2/ITPR1/CASP3/GNG11/PLCB1/AKT2/SOS1/IRF3/HLA-B/FAS/NFATC1/CCL4L2/NFKBIA/IL1B/HLA-E/ELK1/GNA13/CX3CL1/RB1/PIK3CA/PRKACB/HRAS/MAPK14/MAP2K2/NFATC3/NFATC4/ITPR2/PPP3CA/MYC/PIK3R3/TAP1/BAK1/TAPBP"
"hsa03040","Spliceosome",33,0.50194588190013,2.19536724097229,8.18132813971839e-05,0.000864493673430243,0.000556904441791357,3233,"tags=82%, list=41%, signal=48%","HSPA8/DHX38/DHX16/CDC5L/CWC25/HSPA1A/DDX46/PRPF38B/CASC3/RP9/U2AF1/SNRPA1/SMNDC1/AQR/SNRNP200/DDX42/PRPF18/U2AF1L4/DHX8/ACIN1/CRNKL1/SNRNP40/DDX23/EFTUD2/HSPA1B/CDC40/ISY1"
"hsa04120","Ubiquitin mediated proteolysis",48,0.442256646669943,2.16910774297161,7.8882210903389e-05,0.000864493673430243,0.000556904441791357,2356,"tags=58%, list=30%, signal=41%","ELOB/ANAPC15/PIAS1/ELOC/SYVN1/UBE2Q2/TRIM37/FBXO4/UBE2G1/FBXW7/CDC27/CDC16/UBR5/TRIP12/PIAS3/ANAPC2/UBE4A/UBA6/ITCH/ANAPC10/HUWE1/TRAF6/RHOBTB1/SOCS3/CBL/KLHL9/UBE2M/CUL3"
"hsa04270","Vascular smooth muscle contraction",69,0.385232463517141,2.06297656767478,7.61294748546522e-05,0.000864493673430243,0.000556904441791357,996,"tags=36%, list=13%, signal=32%","ACTA2/MYL9/PPP1R14A/CALD1/MYH11/RAMP1/PPP1R12B/MYLK/MYH10/ACTG2/KCNMB1/PPP1CB/ROCK1/MYH9/GUCY1A1/PLA2G5/PRKCE/NPR1/PRKG1/KCNMA1/AGT/ROCK2/RAF1/ITPR1/PTGIR"
"hsa05222","Small cell lung cancer",63,0.391577178186679,2.04884005228966,8.00101480645127e-05,0.000864493673430243,0.000556904441791357,2731,"tags=60%, list=35%, signal=40%","ITGB1/GADD45B/FN1/COL4A2/CYCS/COL4A4/PTK2/GADD45A/CDKN1A/COL4A1/ITGAV/PIK3R1/LAMB1/CDKN1B/LAMB2/CCND1/LAMA5/ITGA3/MAX/CASP3/POLK/AKT2/NFKBIA/BCL2L1/RARB/TRAF6/COL4A5/LAMC3/PTEN/RB1/PIK3CA/MYC/BIRC3/PIK3R3/BAK1/GADD45G/LAMA4/CDK2"
"hsa04145","Phagocytosis",111,0.320980913840883,1.90306981535006,0.000100145365428195,0.000992883924291449,0.000639613087539569,2275,"tags=44%, list=29%, signal=32%","ACTB/ITGB1/ATP6V0C/TUBA1B/TUBA1A/TUBB/TUBB6/HLA-A/ITGA5/TUBB4B/HLA-C/CALR/DYNC1LI2/RAC2/ITGAV/TUBB2A/PIK3R1/TUBA4A/HLA-DRB1/OSBPL1A/ITGB2/PLA2R1/EEA1/DYNC1LI1/UVRAG/TUBA1C/ATG3/GAPVD1/CCZ1/THBS2/ITGB5/M6PR/ATP6V0A1/HLA-B/DYNC1H1/HLA-DRA/VPS41/ATP6V1B2/HLA-E/FCGR2A/SFTPA2/DCTN1/OSBPL2/PIK3C3/HLA-DMA/VPS39/PIK3CA/TUBB2B/DCTN4"
"hsa04151","PI3K-Akt signaling pathway",191,0.262642082126441,1.70942504435483,0.000100228030212386,0.000992883924291449,0.000639613087539569,1361,"tags=30%, list=17%, signal=26%","ITGB1/COL6A2/YWHAH/HSP90AA1/ITGA8/HSP90B1/NR4A1/ITGA5/CREB5/COL6A1/FN1/COL4A2/PDGFRB/PDGFRA/COL4A4/PTK2/ITGA1/ITGA7/EIF4B/CDKN1A/COL4A1/INSR/PDGFD/ITGA10/GRB2/CCND2/ITGAV/GNG2/MCL1/PIK3R1/GNB1/CREB3L2/FGF1/LAMB1/ITGB8/PDGFA/COL9A3/ITGB4/RAF1/CDKN1B/LAMB2/CCND1/RPS6KB2/COL1A2/LAMA5/FOXO3/ERBB2/ITGA3/JAK2/RBL2/NTRK2/GNG11/IGF1R/THBS2/FGF7/AKT2/ITGB5/SOS1"
"hsa04512","ECM-receptor interaction",58,0.399938896021409,2.06431194042082,0.000115903998469762,0.00111338083378529,0.000717236864533776,1360,"tags=43%, list=17%, signal=36%","ITGB1/COL6A2/ITGA8/ITGA5/COL6A1/FN1/COL4A2/COL4A4/ITGA1/ITGA7/COL4A1/ITGA10/ITGAV/NPNT/LAMB1/ITGB8/COL9A3/ITGB4/LAMB2/COL1A2/SDC4/LAMA5/ITGA3/THBS2/ITGB5"
"hsa04140","Autophagy - animal",62,0.396069660359946,2.06926204625183,0.000125858895010213,0.00113876855125563,0.00073359156215704,3368,"tags=74%, list=43%, signal=43%","EIF2AK4/RRAS/HIF1A/PIK3R1/WIPI1/RAF1/CALCOCO2/RPS6KB2/ITPR1/RRAS2/UVRAG/RB1CC1/IRS2/ATG3/IGF1R/AKT2/MRAS/VMP1/CFLAR/ATG14/DDIT4/SNAP29/VPS41/BCL2L1/PRKAA1/TRAF6/PIK3C3/PTEN/VPS39/PIK3CA/PRKACB/HRAS/MAPK9/MAP2K2/ATG16L2/PIK3R3/RAB33B/ATG2A/IRS1/ATG10/BCL2/RAB8A/WDR41/PLEKHM1/PIK3CB/GABARAP"
