id,Term,Classification_level1,Classification_level2,ListHits,ListTotal,PopHits,PopTotal,p-value,q-value,Enrichment_score,geneID,hyperlink_only_excel
rno04390,Hippo signaling pathway,Environmental Information Processing,Signal transduction,2,84,157,9012,0.431936846,0.607492984,1.366696997,Itgb2;Nkd2,rno04390
rno04510,Focal adhesion,Cellular Processes,Cellular community - eukaryotes,4,84,201,9012,0.117740652,0.39958594,2.13503909,Col6a5;Flt1;Itga4;Thbs4,rno04510
rno04512,ECM-receptor interaction,Environmental Information Processing,Signaling molecules and interaction,4,84,88,9012,0.009050275,0.129720614,4.876623377,Col6a5;RGD1565355;Itga4;Thbs4,rno04512
rno04514,Cell adhesion molecules,Environmental Information Processing,Signaling molecules and interaction,7,84,179,9012,0.001356135,0.044101131,4.195530726,Sell;Icam1;Itga4;Cd22;Itgb2;Cldn2;Selplg,rno04514
rno04520,Adherens junction,Cellular Processes,Cellular community - eukaryotes,1,84,93,9012,0.583307436,0.681582059,1.153609831,Ptpn6,rno04520
rno04530,Tight junction,Cellular Processes,Cellular community - eukaryotes,2,84,168,9012,0.466576059,0.616343745,1.277210884,Cacna1d;Cldn2,rno04530
rno04610,Complement and coagulation cascades,Organismal Systems,Immune system,1,84,87,9012,0.558974508,0.671094241,1.23316913,Itgb2,rno04610
rno04613,Neutrophil extracellular trap formation,Organismal Systems,Immune system,3,84,180,9012,0.235621385,0.489716901,1.788095238,Itgb2;Selplg;Fcgr3a,rno04613
rno04614,Renin-angiotensin system,Organismal Systems,Endocrine system,1,84,34,9012,0.273112913,0.51508137,3.155462185,Agtr1b,rno04614
rno04620,Toll-like receptor signaling pathway,Organismal Systems,Immune system,3,84,93,9012,0.055738068,0.271914782,3.460829493,Il1b;Tlr1;Map2k3,rno04620
rno04621,NOD-like receptor signaling pathway,Organismal Systems,Immune system,2,84,178,9012,0.496984689,0.62853946,1.205457464,Il1b;Nlrp12,rno04621
rno04623,Cytosolic DNA-sensing pathway,Organismal Systems,Immune system,1,84,67,9012,0.46727456,0.616343745,1.601279318,Il1b,rno04623
rno04625,C-type lectin receptor signaling pathway,Organismal Systems,Immune system,2,84,113,9012,0.284013589,0.517482387,1.8988622,Il1b;Nfatc1,rno04625
rno04630,JAK-STAT signaling pathway,Environmental Information Processing,Signal transduction,2,84,160,9012,0.441501425,0.608545974,1.341071429,Csf3r;Ptpn6,rno04630
rno04640,Hematopoietic cell lineage,Organismal Systems,Immune system,6,84,90,9012,0.000182521,0.009810525,7.152380952,Il1r2;RGD1565355;Il1b;Csf3r;Itga4;Cd22,rno04640
rno04650,Natural killer cell mediated cytotoxicity,Organismal Systems,Immune system,5,84,133,9012,0.007903523,0.123241464,4.03329753,Icam1;Nfatc1;Itgb2;Ptpn6;Fcgr3a,rno04650
rno04657,IL-17 signaling pathway,Organismal Systems,Immune system,4,84,92,9012,0.010545416,0.134845632,4.664596273,S100a9;S100a8;Il1b;Il17b,rno04657
rno04658,Th1 and Th2 cell differentiation,Organismal Systems,Immune system,2,84,88,9012,0.197852458,0.483935135,2.438311688,Nfatc1;Runx3,rno04658
rno04659,Th17 cell differentiation,Organismal Systems,Immune system,2,84,104,9012,0.252830586,0.489716901,2.063186813,Il1b;Nfatc1,rno04659
rno04660,T cell receptor signaling pathway,Organismal Systems,Immune system,2,84,121,9012,0.311653485,0.540748162,1.773317591,Nfatc1;Ptpn6,rno04660
rno04662,B cell receptor signaling pathway,Organismal Systems,Immune system,3,84,79,9012,0.037224518,0.222313094,4.074141049,Nfatc1;Cd22;Ptpn6,rno04662
rno04664,Fc epsilon RI signaling pathway,Organismal Systems,Immune system,1,84,66,9012,0.46222503,0.616343745,1.625541126,Map2k3,rno04664
rno04666,Fc gamma R-mediated phagocytosis,Organismal Systems,Immune system,2,84,95,9012,0.22176687,0.484822886,2.258646617,Plpp3;Fcgr3a,rno04666
rno04668,TNF signaling pathway,Environmental Information Processing,Signal transduction,4,84,113,9012,0.020993795,0.174193327,3.797724399,Il1b;Icam1;Creb5;Map2k3,rno04668
rno04670,Leukocyte transendothelial migration,Organismal Systems,Immune system,4,84,118,9012,0.024167539,0.175893237,3.636803874,Icam1;Itga4;Itgb2;Cldn2,rno04670
rno04672,Intestinal immune network for IgA production,Organismal Systems,Immune system,1,84,43,9012,0.332104968,0.541166467,2.495016611,Itga4,rno04672
rno04710,Circadian rhythm,Organismal Systems,Environmental adaptation,6,84,34,9012,5.97E-07,0.000128459,18.93277311,Per3;Dbp;Per2;Nr1d2;Npas2;Bhlhe41,rno04710
rno04713,Circadian entrainment,Organismal Systems,Environmental adaptation,3,84,97,9012,0.061700424,0.271914782,3.318114875,Per3;Per2;Cacna1d,rno04713
rno04714,Thermogenesis,Organismal Systems,Environmental adaptation,3,84,233,9012,0.37048679,0.560948308,1.381361128,Creb5;Map2k3;Mlst8,rno04714
rno04722,Neurotrophin signaling pathway,Organismal Systems,Nervous system,2,84,120,9012,0.308207559,0.540748162,1.788095238,Tp53;Foxo3,rno04722
rno04723,Retrograde endocannabinoid signaling,Organismal Systems,Nervous system,1,84,148,9012,0.752772443,0.78566056,0.724903475,Cacna1d,rno04723
rno04724,Glutamatergic synapse,Organismal Systems,Nervous system,1,84,114,9012,0.658479665,0.729758392,0.941102757,Cacna1d,rno04724
rno04725,Cholinergic synapse,Organismal Systems,Nervous system,2,84,112,9012,0.280550063,0.515540714,1.915816327,Creb5;Cacna1d,rno04725
rno04726,Serotonergic synapse,Organismal Systems,Nervous system,2,84,122,9012,0.315096082,0.540748162,1.758782201,Htr1b;Cacna1d,rno04726
rno04727,GABAergic synapse,Organismal Systems,Nervous system,1,84,89,9012,0.567237558,0.671094241,1.205457464,Cacna1d,rno04727
rno04728,Dopaminergic synapse,Organismal Systems,Nervous system,2,84,130,9012,0.342489687,0.553648742,1.650549451,Creb5;Cacna1d,rno04728
rno04742,Taste transduction,Organismal Systems,Sensory system,1,84,91,9012,0.575347601,0.675954832,1.178963893,Htr1b,rno04742
rno04750,Inflammatory mediator regulation of TRP channels,Organismal Systems,Sensory system,2,84,114,9012,0.287475839,0.519389122,1.882205514,Il1b;Map2k3,rno04750
rno04810,Regulation of actin cytoskeleton,Cellular Processes,Cell motility,2,84,233,9012,0.643636218,0.726358936,0.920907419,Itga4;Itgb2,rno04810
rno04911,Insulin secretion,Organismal Systems,Endocrine system,4,84,85,9012,0.008025026,0.123241464,5.048739496,Creb5;Abcc8;Cacna1d;Kcnn3,rno04911
rno04912,GnRH signaling pathway,Organismal Systems,Endocrine system,2,84,90,9012,0.204654121,0.483935135,2.384126984,Cacna1d;Map2k3,rno04912
rno04915,Estrogen signaling pathway,Organismal Systems,Endocrine system,2,84,134,9012,0.356066312,0.559911246,1.601279318,Gper1;Creb5,rno04915
rno04917,Prolactin signaling pathway,Organismal Systems,Endocrine system,1,84,75,9012,0.506019648,0.628868348,1.43047619,Foxo3,rno04917
rno04918,Thyroid hormone synthesis,Organismal Systems,Endocrine system,1,84,73,9012,0.496602702,0.62853946,1.469667319,Creb5,rno04918
rno04919,Thyroid hormone signaling pathway,Organismal Systems,Endocrine system,2,84,124,9012,0.321970349,0.540809571,1.730414747,Tp53;Thra,rno04919
rno04920,Adipocytokine signaling pathway,Organismal Systems,Endocrine system,1,84,72,9012,0.491827931,0.62853946,1.490079365,RGD1565355,rno04920
rno04921,Oxytocin signaling pathway,Organismal Systems,Endocrine system,2,84,154,9012,0.422288309,0.607492984,1.393320965,Nfatc1;Cacna1d,rno04921
rno04922,Glucagon signaling pathway,Organismal Systems,Endocrine system,1,84,103,9012,0.620947992,0.717762464,1.041608877,Creb5,rno04922
rno04924,Renin secretion,Organismal Systems,Endocrine system,2,84,72,9012,0.144822774,0.42736523,2.98015873,Agtr1b;Cacna1d,rno04924
rno04925,Aldosterone synthesis and secretion,Organismal Systems,Endocrine system,3,84,96,9012,0.060182724,0.271914782,3.352678571,Agtr1b;Creb5;Cacna1d,rno04925
rno04926,Relaxin signaling pathway,Organismal Systems,Endocrine system,2,84,127,9012,0.33225104,0.541166467,1.689538808,Nos2;Creb5,rno04926
rno04927,Cortisol synthesis and secretion,Organismal Systems,Endocrine system,3,84,68,9012,0.025361351,0.175893237,4.733193277,Agtr1b;Creb5;Cacna1d,rno04927
rno04928,"Parathyroid hormone synthesis, secretion and action",Organismal Systems,Endocrine system,1,84,105,9012,0.628062603,0.722104062,1.021768707,Creb5,rno04928
rno04929,GnRH secretion,Organismal Systems,Endocrine system,3,84,64,9012,0.021648245,0.174193327,5.029017857,Gper1;Cacna1d;Kcnn3,rno04929
rno04930,Type II diabetes mellitus,Human Diseases,Endocrine and metabolic disease,2,84,48,9012,0.0735202,0.300002832,4.470238095,Abcc8;Cacna1d,rno04930
rno04931,Insulin resistance,Human Diseases,Endocrine and metabolic disease,2,84,109,9012,0.270154653,0.514011066,1.968545216,RGD1565355;Creb5,rno04931
rno04932,Non-alcoholic fatty liver disease,Human Diseases,Endocrine and metabolic disease,1,84,157,9012,0.773085155,0.798199126,0.683348499,Il1b,rno04932
rno04933,AGE-RAGE signaling pathway in diabetic complications,Human Diseases,Endocrine and metabolic disease,4,84,101,9012,0.014471575,0.141426755,4.24893918,Agtr1b;Il1b;Icam1;Nfatc1,rno04933
rno04934,Cushing syndrome,Human Diseases,Endocrine and metabolic disease,3,84,158,9012,0.182519098,0.467161978,2.037070524,Agtr1b;Creb5;Cacna1d,rno04934
rno04935,"Growth hormone synthesis, secretion and action",Organismal Systems,Endocrine system,3,84,117,9012,0.09562944,0.355000201,2.750915751,Creb5;Cacna1d;Map2k3,rno04935
rno04936,Alcoholic liver disease,Human Diseases,Endocrine and metabolic disease,3,84,134,9012,0.129234631,0.420991601,2.401918977,Il1b;Map2k3;Foxo3,rno04936
rno04940,Type I diabetes mellitus,Human Diseases,Endocrine and metabolic disease,1,84,67,9012,0.46727456,0.616343745,1.601279318,Il1b,rno04940
rno04962,Vasopressin-regulated water reabsorption,Organismal Systems,Excretory system,1,84,43,9012,0.332104968,0.541166467,2.495016611,Creb5,rno04962
rno04973,Carbohydrate digestion and absorption,Organismal Systems,Digestive system,1,84,46,9012,0.350697517,0.559911246,2.332298137,Cacna1d,rno04973
rno04974,Protein digestion and absorption,Organismal Systems,Digestive system,2,84,103,9012,0.249368798,0.489716901,2.083217753,Col6a5;Col22a1,rno04974
rno04975,Fat digestion and absorption,Organismal Systems,Digestive system,3,84,44,9012,0.007857805,0.123241464,7.314935065,RGD1565355;Plpp3;Dgat2,rno04975
rno04979,Cholesterol metabolism,Organismal Systems,Digestive system,1,84,50,9012,0.374694208,0.563351431,2.145714286,RGD1565355,rno04979
rno05010,Alzheimer disease,Human Diseases,Neurodegenerative disease,3,84,387,9012,0.706055691,0.754226002,0.831672204,Nos2;Il1b;Cacna1d,rno05010
rno05012,Parkinson disease,Human Diseases,Neurodegenerative disease,1,84,266,9012,0.920223538,0.920223538,0.403329753,Tp53,rno05012
rno05014,Amyotrophic lateral sclerosis,Human Diseases,Neurodegenerative disease,3,84,366,9012,0.669334868,0.732524163,0.879391101,Nos2;Tp53;Map2k3,rno05014
rno05016,Huntington disease,Human Diseases,Neurodegenerative disease,2,84,303,9012,0.779636355,0.798199126,0.70815653,Tp53;Creb5,rno05016
rno05020,Prion disease,Human Diseases,Neurodegenerative disease,3,84,268,9012,0.458171852,0.616343745,1.200959488,Il1b;Creb5;Cacna1d,rno05020
