id,Term,Classification_level1,Classification_level2,ListHits,ListTotal,PopHits,PopTotal,p-value,q-value,Enrichment_score,geneID,hyperlink_only_excel
rno05163,Human cytomegalovirus infection,Human Diseases,Infectious disease: viral,2,22,244,9012,0.118428898,0.373253874,3.357675112,Rac2;Adcy1,rno05163
rno05164,Influenza A,Human Diseases,Infectious disease: viral,1,22,168,9012,0.3393152,0.41268078,2.438311688,Oas2,rno05164
rno05166,Human T-cell leukemia virus 1 infection,Human Diseases,Infectious disease: viral,2,22,246,9012,0.120036321,0.373253874,3.33037694,Pttg1;Adcy1,rno05166
rno05168,Herpes simplex virus 1 infection,Human Diseases,Infectious disease: viral,1,22,381,9012,0.613823063,0.622596414,1.075161059,Oas2,rno05168
rno05169,Epstein-Barr virus infection,Human Diseases,Infectious disease: viral,2,22,222,9012,0.101153275,0.373253874,3.69041769,Cr2;Oas2,rno05169
rno05170,Human immunodeficiency virus 1 infection,Human Diseases,Infectious disease: viral,1,22,228,9012,0.431309784,0.469711482,1.796650718,Rac2,rno05170
rno05171,Coronavirus disease - COVID-19,Human Diseases,Infectious disease: viral,1,22,286,9012,0.508523097,0.528662626,1.432294978,Oas2,rno05171
rno05200,Pathways in cancer,Human Diseases,Cancer: overview,2,22,533,9012,0.376904548,0.430162799,1.537097049,Rac2;Adcy1,rno05200
rno05207,Chemical carcinogenesis - receptor activation,Human Diseases,Cancer: overview,1,22,213,9012,0.409531069,0.457454918,1.923175416,Adcy1,rno05207
rno05210,Colorectal cancer,Human Diseases,Cancer: specific types,1,22,88,9012,0.194372321,0.373253874,4.654958678,Rac2,rno05210
rno05212,Pancreatic cancer,Human Diseases,Cancer: specific types,1,22,75,9012,0.168123077,0.373253874,5.461818182,Rac2,rno05212
rno05214,Glioma,Human Diseases,Cancer: specific types,1,22,74,9012,0.166070442,0.373253874,5.535626536,Camk4,rno05214
rno05231,Choline metabolism in cancer,Human Diseases,Cancer: overview,1,22,98,9012,0.21402407,0.373253874,4.179962894,Rac2,rno05231
rno05340,Primary immunodeficiency,Human Diseases,Immune disease,2,22,36,9012,0.00340846,0.089472068,22.75757576,Cd79a;Tnfrsf13b,rno05340
rno05414,Dilated cardiomyopathy,Human Diseases,Cardiovascular disease,1,22,94,9012,0.206218918,0.373253874,4.357833656,Adcy1,rno05414
rno05415,Diabetic cardiomyopathy,Human Diseases,Cardiovascular disease,2,22,210,9012,0.092072445,0.373253874,3.901298701,Rac2;Mpc2,rno05415
rno05416,Viral myocarditis,Human Diseases,Cardiovascular disease,1,22,82,9012,0.182357073,0.373253874,4.99556541,Rac2,rno05416
rno05418,Fluid shear stress and atherosclerosis,Human Diseases,Cardiovascular disease,1,22,149,9012,0.307335371,0.397937198,2.74923734,Rac2,rno05418
